source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,0.6381,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,D,0.0009,0.000005,0.000007,0,48,0,43.0,66,0,
A,G,2.0793,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,I,2.8232,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,M,0.0231,0.249279,0.321652,0,48,0,0.0,66,0,
A,N,0.1899,0.000005,0.000007,2,48,0,41.0,66,0,idle stress
A,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
A,S,4.2098,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,W,0.0071,0.000005,0.000007,0,48,0,27.0,66,0,
C,A,4.9010,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,D,0.0537,0.000005,0.000007,0,48,0,43.0,66,0,
C,G,3.0455,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,I,1.2330,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,M,0.0458,0.498918,0.594127,1,48,0,0.0,66,0,conversation
C,N,0.1472,0.000005,0.000007,2,48,0,41.0,66,0,autonomy stress
C,P,0.7268,0.000005,0.000007,6,48,1,34.0,66,0,autonomy conversation idle memory problem_solving tool_use
C,S,1.7244,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,W,0.0474,0.000005,0.000007,1,48,0,60.0,66,0,conversation
D,A,0.3643,0.000005,0.000007,6,48,1,24.5,66,0,autonomy conversation idle memory problem_solving salience
D,C,0.2930,0.000005,0.000007,1,48,0,30.0,66,0,autonomy
D,G,0.0821,0.000005,0.000007,0,48,0,20.0,66,0,
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,N,1.3731,0.000005,0.000007,8,48,1,32.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
D,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,S,0.1580,0.000005,0.000007,2,48,0,63.5,66,0,idle stress
D,W,0.1362,0.000005,0.000007,1,48,0,27.0,66,0,tool_use
G,A,0.7626,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,C,1.2933,0.000005,0.000007,8,48,1,31.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,D,0.7930,0.000005,0.000007,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
G,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
G,M,1.1928,0.000005,0.000007,8,48,1,60.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,N,1.1514,0.000005,0.000007,8,48,1,32.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,P,3.2937,0.000005,0.000007,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
G,S,1.5991,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,W,1.7993,0.000005,0.000007,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
I,A,0.5864,0.000005,0.000007,5,48,1,41.0,66,0,autonomy conversation problem_solving salience stress
I,C,0.3955,0.000005,0.000007,4,48,1,41.0,66,0,autonomy conversation salience stress
I,D,0.5525,0.000005,0.000007,8,48,1,43.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,G,0.1450,0.000020,0.000030,1,48,0,0.0,66,0,stress
I,M,0.0921,0.123269,0.163151,1,48,0,0.0,66,0,stress
I,N,1.4840,0.000005,0.000007,8,48,1,65.0,66,1,autonomy conversation idle memory problem_solving salience stress tool_use
I,P,0.8448,0.000005,0.000007,8,48,1,8.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,S,0.4513,0.000975,0.001310,1,48,0,0.0,66,0,stress
I,W,0.1087,0.000005,0.000007,1,48,0,27.0,66,0,stress
M,A,0.0002,0.000175,0.000242,0,48,0,0.0,66,0,
M,C,0.2844,0.000005,0.000007,2,48,0,0.0,66,0,memory salience
M,D,0.0873,0.501017,0.594127,1,48,0,0.0,66,0,tool_use
M,G,1.5682,0.000005,0.000007,8,48,1,45.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
M,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
M,N,0.0342,0.000885,0.001207,0,48,0,0.0,66,0,
M,P,0.0317,0.501417,0.594127,0,48,0,0.0,66,0,
M,S,0.3586,0.000005,0.000007,6,48,1,64.0,66,0,autonomy conversation idle problem_solving stress tool_use
M,W,0.2696,0.000005,0.000007,1,48,0,27.0,66,0,idle
N,A,0.6378,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
N,C,0.4306,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
N,D,0.0873,0.498798,0.594127,1,48,0,0.0,66,0,tool_use
N,G,0.0001,0.000035,0.000051,0,48,0,0.0,66,0,
N,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
N,M,0.0433,0.501707,0.594127,1,48,0,0.0,66,0,tool_use
N,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
N,S,0.0339,0.000120,0.000169,0,48,0,0.0,66,0,
N,W,0.0087,0.000005,0.000007,0,48,0,60.0,66,0,
P,A,10.0000,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
P,C,0.4130,0.000005,0.000007,4,48,1,41.0,66,0,autonomy idle problem_solving stress
P,D,0.0159,0.250174,0.321652,0,48,0,0.0,66,0,
P,G,0.1137,0.000005,0.000007,1,48,0,30.0,66,0,idle
P,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
P,M,0.0453,0.501057,0.594127,1,48,0,0.0,66,0,idle
P,N,1.4558,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
P,S,0.3718,0.000005,0.000007,3,48,1,31.0,66,0,idle problem_solving tool_use
P,W,0.2342,0.000005,0.000007,2,48,0,27.0,66,0,conversation idle
S,A,1.0746,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
S,C,0.7113,0.000005,0.000007,7,48,1,41.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
S,D,0.0636,0.000005,0.000007,1,48,0,43.0,66,0,tool_use
S,G,0.0008,0.000005,0.000007,0,48,0,34.0,66,0,
S,I,0.3420,0.000005,0.000007,3,48,1,34.0,66,0,memory salience stress
S,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
S,N,3.3203,0.000005,0.000007,8,48,1,32.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
S,P,0.6501,0.000005,0.000007,6,48,1,17.0,66,0,autonomy conversation memory problem_solving salience stress
S,W,2.2146,0.000005,0.000007,8,48,1,9.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
W,A,3.7598,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
W,C,1.7392,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
W,D,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
W,G,0.7389,0.000040,0.000057,8,48,1,0.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
W,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
W,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
W,N,6.6388,0.000005,0.000007,8,48,1,65.0,66,1,autonomy conversation idle memory problem_solving salience stress tool_use
W,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
W,S,0.4055,0.000005,0.000007,5,48,1,64.0,66,0,conversation idle memory problem_solving tool_use
