source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,0.5161,0.000005,0.000007,7,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress
A,D,0.0165,0.000005,0.000007,0,48,0,43.0,66,0,
A,G,1.8965,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
A,M,0.0253,0.502432,0.602919,0,48,0,0.0,66,0,
A,N,0.1381,0.000005,0.000007,0,48,0,41.0,66,0,
A,P,0.0868,0.502247,0.602919,1,48,0,0.0,66,0,conversation
A,S,3.4281,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,W,0.0486,0.000005,0.000007,0,48,0,27.0,66,0,
C,A,5.9026,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,D,0.2134,0.000005,0.000007,0,48,0,43.0,66,0,
C,G,3.2529,0.000005,0.000007,8,48,1,39.5,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,I,0.5600,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
C,N,0.1229,0.000005,0.000007,0,48,0,41.0,66,0,
C,P,0.9417,0.000005,0.000007,6,48,1,41.0,66,0,autonomy conversation idle memory problem_solving tool_use
C,S,1.6573,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,W,0.0148,0.000005,0.000007,0,48,0,60.0,66,0,
D,A,0.2383,0.000005,0.000007,2,48,0,41.0,66,0,problem_solving salience
D,C,0.1646,0.000005,0.000007,0,48,0,42.5,66,0,
D,G,0.1062,0.000005,0.000007,0,48,0,20.0,66,0,
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,N,1.1056,0.000005,0.000007,8,48,1,10.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
D,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,S,0.0902,0.000015,0.000021,1,48,0,0.0,66,0,autonomy
D,W,0.2143,0.000005,0.000007,1,48,0,27.0,66,0,tool_use
G,A,0.9754,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,C,1.1530,0.000005,0.000007,8,48,1,31.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,D,0.7077,0.000005,0.000007,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
G,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
G,M,0.7063,0.000005,0.000007,8,48,1,60.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,N,1.0029,0.000005,0.000007,8,48,1,20.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,P,3.0960,0.000005,0.000007,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
G,S,1.7979,0.000005,0.000007,8,48,1,63.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,W,1.5219,0.000005,0.000007,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
I,A,1.6402,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,C,0.7980,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,D,4.0520,0.000005,0.000007,8,48,1,43.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,G,0.3771,0.000005,0.000007,3,48,1,34.0,66,0,idle memory stress
I,M,0.0174,0.248789,0.316380,0,48,0,0.0,66,0,
I,N,1.8759,0.000005,0.000007,8,48,1,65.0,66,1,autonomy conversation idle memory problem_solving salience stress tool_use
