source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,0.2413,0.019120,0.052145,2,48,0,31.0,66,0,autonomy tool_use
A,D,0.0034,0.000520,0.001800,0,48,0,43.0,66,0,
A,G,0.4595,0.008450,0.023766,5,48,0,60.0,66,0,conversation memory problem_solving salience tool_use
A,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
A,M,-0.0403,1.000000,1.000000,1,48,0,22.0,66,0,tool_use
A,N,0.3370,0.000075,0.000293,5,48,1,41.0,66,0,autonomy conversation memory problem_solving tool_use
A,P,0.0078,0.371983,0.631669,0,48,0,8.0,66,0,
A,S,0.7691,0.000005,0.000028,6,48,1,31.0,66,0,autonomy conversation memory problem_solving salience tool_use
A,W,-0.0041,1.000000,1.000000,1,48,0,27.0,66,0,autonomy
C,A,0.5444,0.000005,0.000028,7,48,1,41.0,66,0,autonomy conversation idle memory problem_solving stress tool_use
C,D,0.0007,0.132334,0.290490,0,48,0,43.0,66,0,
C,G,-0.0745,1.000000,1.000000,0,48,0,30.0,66,0,
C,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
C,M,-0.0528,1.000000,1.000000,1,48,0,38.5,66,0,autonomy
C,N,0.0757,0.083375,0.214392,2,48,0,8.0,66,0,problem_solving salience
C,P,-0.0170,1.000000,1.000000,0,48,0,8.0,66,0,
C,S,0.0334,0.235974,0.443923,0,48,0,0.0,66,0,
C,W,0.0469,0.001455,0.004677,1,48,0,43.0,66,0,idle
D,A,0.1658,0.000010,0.000050,0,48,0,41.0,66,0,
D,C,-0.0242,1.000000,1.000000,1,48,0,38.0,66,0,tool_use
D,G,0.2670,0.144244,0.309095,4,48,0,30.0,66,0,idle memory salience stress
D,I,0.0118,0.124184,0.282846,0,48,0,0.0,66,0,
D,M,-0.0989,1.000000,1.000000,0,48,0,55.0,66,0,
D,N,0.7346,0.000370,0.001332,8,48,1,32.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
D,P,-0.0013,1.000000,1.000000,0,48,0,8.0,66,0,
D,S,0.0288,0.262659,0.472786,0,48,0,0.0,66,0,
D,W,0.7645,0.000015,0.000071,2,48,0,27.0,66,0,autonomy idle
G,A,1.2182,0.000005,0.000028,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,C,0.7203,0.000005,0.000028,6,48,1,9.0,66,0,conversation idle memory problem_solving salience tool_use
G,D,0.0041,0.000010,0.000050,0,48,0,43.0,66,0,
G,I,0.0045,0.251279,0.461532,0,48,0,0.0,66,0,
G,M,0.5950,0.001035,0.003450,6,48,1,60.0,66,0,autonomy idle memory salience stress tool_use
G,N,0.8050,0.000120,0.000450,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,P,-0.0340,1.000000,1.000000,1,48,0,8.0,66,0,tool_use
G,S,1.6379,0.000005,0.000028,8,48,1,63.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,W,-0.0684,1.000000,1.000000,0,48,0,57.0,66,0,
I,A,0.2739,0.000005,0.000028,3,48,0,41.0,66,0,conversation problem_solving stress
I,C,0.0777,0.366693,0.631669,3,48,0,34.0,66,0,autonomy conversation idle
I,D,0.0202,0.125709,0.282846,0,48,0,43.0,66,0,
I,G,0.4411,0.201759,0.394746,3,48,0,2.0,66,0,idle stress tool_use
I,M,-0.1851,1.000000,1.000000,0,48,0,27.0,66,0,
I,N,0.6843,0.000005,0.000028,7,48,1,41.0,66,0,autonomy conversation memory problem_solving salience stress tool_use
I,P,-0.0056,1.000000,1.000000,0,48,0,0.0,66,0,
