source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,0.7039,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,D,0.0015,0.000005,0.000007,0,48,0,43.0,66,0,
A,G,2.0363,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,I,4.5303,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,M,0.0655,0.250504,0.326744,1,48,0,0.0,66,0,conversation
A,N,0.1788,0.000005,0.000007,2,48,0,41.0,66,0,idle stress
A,P,0.1153,0.499533,0.617348,1,48,0,0.0,66,0,conversation
A,S,2.3955,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,W,0.0419,0.000005,0.000007,0,48,0,27.0,66,0,
C,A,5.2197,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,D,0.0258,0.000005,0.000007,0,48,0,43.0,66,0,
C,G,3.8763,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,I,2.2001,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
C,N,0.1486,0.000005,0.000007,2,48,0,41.0,66,0,autonomy stress
C,P,1.0529,0.000005,0.000007,6,48,1,41.0,66,0,autonomy conversation idle memory problem_solving tool_use
C,S,1.1612,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,W,0.0062,0.000005,0.000007,0,48,0,60.0,66,0,
D,A,0.2269,0.000005,0.000007,1,48,0,41.0,66,0,salience
D,C,0.4037,0.000005,0.000007,1,48,0,41.0,66,0,problem_solving
D,G,0.0812,0.000005,0.000007,0,48,0,20.0,66,0,
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,N,1.4428,0.000005,0.000007,8,48,1,32.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
D,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,S,0.0354,0.000005,0.000007,0,48,0,0.0,66,0,
D,W,0.1331,0.000005,0.000007,1,48,0,27.0,66,0,tool_use
G,A,0.7709,0.000005,0.000007,7,48,1,41.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
G,C,2.7088,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,D,0.0148,0.000075,0.000104,0,48,0,0.0,66,0,
G,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
G,M,0.4894,0.000005,0.000007,5,48,1,60.0,66,0,autonomy conversation idle memory tool_use
G,N,1.8154,0.000005,0.000007,8,48,1,65.0,66,1,autonomy conversation idle memory problem_solving salience stress tool_use
G,P,3.4115,0.000005,0.000007,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
G,S,1.6787,0.000005,0.000007,8,48,1,63.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,W,1.5523,0.000005,0.000007,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
I,A,0.5171,0.000005,0.000007,6,48,1,41.0,66,0,autonomy conversation idle problem_solving salience stress
