source,target,effect,p,q,replication,trials,kept,conditions
A,C,0.0778,0.009685,0.032283,0,48,0,
A,D,0.0005,0.025670,0.082510,0,48,0,
A,G,0.8467,0.000005,0.000028,6,48,1,autonomy idle memory salience stress tool_use
A,I,0.0014,0.062780,0.156949,0,48,0,
A,M,0.5235,0.000025,0.000125,5,48,1,memory problem_solving salience stress tool_use
A,N,0.1303,0.050060,0.132511,4,48,0,autonomy idle stress tool_use
A,P,-0.0160,1.000000,1.000000,0,48,0,
A,S,0.3672,0.045750,0.124772,4,48,0,autonomy idle salience stress
A,W,0.1231,0.159524,0.333888,1,48,0,idle
C,A,0.3534,0.000005,0.000028,8,48,1,autonomy conversation idle memory problem_solving salience stress tool_use
C,D,0.0003,0.168924,0.345527,0,48,0,
C,G,-0.0118,1.000000,1.000000,0,48,0,
C,I,-0.0004,1.000000,1.000000,0,48,0,
C,M,-0.0925,1.000000,1.000000,0,48,0,
C,N,0.0753,0.323053,0.514462,2,48,0,salience tool_use
C,P,0.0469,0.075650,0.184013,0,48,0,
C,S,-0.1220,1.000000,1.000000,3,48,0,problem_solving stress tool_use
C,W,-0.1019,1.000000,1.000000,0,48,0,
D,A,0.0174,0.222794,0.426627,0,48,0,
D,C,-0.0092,1.000000,1.000000,0,48,0,
D,G,0.2040,0.002540,0.010391,3,48,0,autonomy memory problem_solving
D,I,0.0004,0.498868,0.703501,0,48,0,
D,M,0.1773,0.031650,0.092961,2,48,0,idle salience
D,N,0.7090,0.004210,0.015787,7,48,0,conversation idle memory problem_solving salience stress tool_use
D,P,-0.0180,1.000000,1.000000,0,48,0,
D,S,0.2896,0.032020,0.092961,5,48,0,idle problem_solving salience stress tool_use
D,W,0.0850,0.332803,0.514462,3,48,0,autonomy idle tool_use
G,A,0.4703,0.000005,0.000028,5,48,1,autonomy conversation idle salience stress
G,C,0.0174,0.308108,0.514022,0,48,0,
G,D,0.0002,0.260869,0.474694,0,48,0,
G,I,0.0007,0.248674,0.466263,0,48,0,
G,M,2.9159,0.000005,0.000028,8,48,1,autonomy conversation idle memory problem_solving salience stress tool_use
G,N,1.4627,0.000005,0.000028,8,48,1,autonomy conversation idle memory problem_solving salience stress tool_use
G,P,0.0008,0.488888,0.703501,0,48,0,
G,S,0.8525,0.000030,0.000142,8,48,1,autonomy conversation idle memory problem_solving salience stress tool_use
