source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,0.6405,0.000005,0.000007,7,48,1,41.0,66,0,autonomy conversation memory problem_solving salience stress tool_use
A,D,0.0150,0.000005,0.000007,0,48,0,43.0,66,0,
A,G,1.7271,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,I,8.9583,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,M,0.0310,0.499243,0.601479,0,48,0,0.0,66,0,
A,N,0.1599,0.000005,0.000007,1,48,0,41.0,66,0,idle
A,P,0.0799,0.501232,0.601479,1,48,0,0.0,66,0,conversation
A,S,6.4584,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,W,0.0939,0.000005,0.000007,2,48,0,27.0,66,0,conversation idle
C,A,5.5735,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,D,0.1423,0.000005,0.000007,0,48,0,43.0,66,0,
C,G,2.8133,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,I,2.1412,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
C,N,0.1397,0.000005,0.000007,1,48,0,41.0,66,0,autonomy
C,P,0.7594,0.000005,0.000007,6,48,1,41.0,66,0,autonomy conversation idle memory problem_solving tool_use
C,S,3.0504,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,W,0.1291,0.000005,0.000007,1,48,0,60.0,66,0,autonomy
D,A,0.2575,0.000005,0.000007,1,48,0,41.0,66,0,stress
D,C,0.1795,0.000005,0.000007,0,48,0,42.0,66,0,
D,G,0.2725,0.000005,0.000007,2,48,0,53.0,66,0,autonomy stress
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
