source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,0.2990,0.000005,0.000011,2,48,0,20.0,66,0,conversation problem_solving
A,D,0.0064,0.000005,0.000011,0,48,0,0.0,66,0,
A,G,1.3304,0.000005,0.000011,6,48,1,49.0,66,0,autonomy conversation memory problem_solving salience tool_use
A,I,0.0431,0.499233,0.626272,1,48,0,0.0,66,0,autonomy
A,M,0.5257,0.000005,0.000011,6,48,1,60.0,66,0,autonomy conversation memory problem_solving salience tool_use
A,N,0.9057,0.000005,0.000011,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,P,0.0365,0.501017,0.626272,0,48,0,0.0,66,0,
A,S,0.5788,0.000005,0.000011,6,48,1,31.0,66,0,autonomy conversation memory problem_solving salience tool_use
A,W,0.0089,0.000005,0.000011,0,48,0,27.0,66,0,
C,A,0.3144,0.000005,0.000011,4,48,1,41.0,66,0,autonomy conversation idle problem_solving
C,D,0.0000,0.461358,0.610620,0,48,0,0.0,66,0,
C,G,0.0273,0.000230,0.000460,0,48,0,0.0,66,0,
C,I,0.0431,0.500587,0.626272,1,48,0,0.0,66,0,problem_solving
C,M,0.0110,0.252289,0.349323,0,48,0,0.0,66,0,
C,N,0.0350,0.000010,0.000020,0,48,0,0.0,66,0,
C,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
C,S,0.0393,0.182309,0.268981,0,48,0,0.0,66,0,
C,W,0.0040,0.000005,0.000011,0,48,0,58.5,66,0,
D,A,0.2227,0.000005,0.000011,2,48,0,41.0,66,0,conversation problem_solving
D,C,0.0019,0.056385,0.093975,0,48,0,64.0,66,0,
D,G,0.1598,0.000010,0.000020,1,48,0,0.0,66,0,conversation
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,N,1.1783,0.000005,0.000011,8,48,1,32.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
D,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,S,0.0198,0.232424,0.326846,0,48,0,0.0,66,0,
D,W,0.1143,0.000005,0.000011,0,48,0,27.0,66,0,
G,A,0.9310,0.000005,0.000011,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,C,1.2578,0.000005,0.000011,8,48,1,9.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,D,0.0117,0.000005,0.000011,0,48,0,43.0,66,0,
G,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
G,M,1.9037,0.000005,0.000011,8,48,1,60.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,N,4.2187,0.000005,0.000011,8,48,1,65.0,66,1,autonomy conversation idle memory problem_solving salience stress tool_use
G,P,0.0365,0.498983,0.626272,0,48,0,0.0,66,0,
G,S,1.3387,0.000005,0.000011,8,48,1,31.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,W,0.0128,0.000005,0.000011,0,48,0,27.0,66,0,
I,A,0.5849,0.000005,0.000011,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,C,0.1137,0.074690,0.120037,1,48,0,64.0,66,0,tool_use
I,D,0.0019,0.009280,0.016704,0,48,0,0.0,66,0,
I,G,0.2494,0.000005,0.000011,2,48,0,42.0,66,0,stress tool_use
I,M,0.1249,0.007475,0.013876,2,48,0,0.0,66,0,stress tool_use
I,N,1.4558,0.000005,0.000011,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
I,S,0.1513,0.015185,0.026797,2,48,0,0.0,66,0,stress tool_use
