source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,0.2421,0.000005,0.000021,3,48,0,20.0,66,0,autonomy problem_solving tool_use
A,D,0.0015,0.007235,0.019732,0,48,0,43.0,66,0,
A,G,0.9775,0.000005,0.000021,6,48,1,50.0,66,0,autonomy conversation memory problem_solving salience tool_use
A,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
A,M,0.1727,0.273519,0.502381,2,48,0,22.0,66,0,conversation problem_solving
A,N,0.3543,0.000015,0.000056,5,48,1,41.0,66,0,conversation memory problem_solving salience stress
A,P,0.0039,1.000000,1.000000,0,48,0,8.0,66,0,
A,S,0.6635,0.000005,0.000021,6,48,1,31.0,66,0,autonomy conversation memory problem_solving salience tool_use
A,W,-0.0431,1.000000,1.000000,0,48,0,27.0,66,0,
C,A,0.2308,0.000005,0.000021,0,48,0,41.0,66,0,
C,D,-0.0008,1.000000,1.000000,0,48,0,43.0,66,0,
C,G,-0.1320,1.000000,1.000000,0,48,0,30.0,66,0,
C,I,-0.0004,1.000000,1.000000,0,48,0,0.0,66,0,
C,M,-0.0194,1.000000,1.000000,0,48,0,55.0,66,0,
C,N,-0.3104,1.000000,1.000000,2,48,0,41.0,66,0,problem_solving salience
C,P,-0.0044,1.000000,1.000000,0,48,0,8.0,66,0,
C,S,-0.0527,1.000000,1.000000,0,48,0,0.0,66,0,
C,W,0.0731,0.000940,0.002820,1,48,0,35.0,66,0,idle
D,A,0.1557,0.000005,0.000021,1,48,0,41.0,66,0,conversation
D,C,-0.0338,1.000000,1.000000,0,48,0,32.5,66,0,
D,G,-0.0777,1.000000,1.000000,1,48,0,30.0,66,0,conversation
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,-0.0294,1.000000,1.000000,1,48,0,55.0,66,0,problem_solving
D,N,0.5358,0.017845,0.042264,6,48,0,32.0,66,0,conversation memory problem_solving salience stress tool_use
D,P,0.0094,0.377693,0.653700,0,48,0,8.0,66,0,
D,S,0.0252,0.279969,0.503943,0,48,0,24.0,66,0,
D,W,0.1655,0.000685,0.002126,1,48,0,27.0,66,0,idle
G,A,1.6404,0.000005,0.000021,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,C,1.1016,0.000005,0.000021,8,48,1,9.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,D,0.1022,0.000005,0.000021,1,48,0,43.0,66,0,autonomy
G,I,0.0004,0.498828,0.762441,0,48,0,0.0,66,0,
G,M,2.4990,0.000005,0.000021,8,48,1,60.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,N,1.0486,0.000215,0.000691,7,48,1,41.0,66,0,autonomy conversation idle memory problem_solving stress tool_use
G,P,0.0145,0.214344,0.428688,0,48,0,8.0,66,0,
G,S,1.5543,0.000005,0.000021,8,48,1,63.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,W,0.1412,0.000010,0.000041,1,48,0,60.0,66,0,autonomy
I,A,0.7005,0.000005,0.000021,6,48,1,41.0,66,0,autonomy conversation memory problem_solving salience stress
I,C,0.2640,0.009240,0.024459,2,48,0,42.0,66,0,autonomy problem_solving
I,D,0.0376,0.012810,0.032025,0,48,0,43.0,66,0,
I,G,0.7132,0.001285,0.003731,5,48,1,30.5,66,0,conversation memory problem_solving stress tool_use
I,M,0.4495,0.078195,0.180449,4,48,0,55.0,66,0,autonomy memory problem_solving tool_use
I,N,0.5288,0.000005,0.000021,5,48,1,41.0,66,0,autonomy conversation memory salience stress
I,P,0.0266,0.175494,0.361982,0,48,0,8.0,66,0,
I,S,0.3122,0.016915,0.041144,4,48,0,31.0,66,0,autonomy conversation problem_solving stress
I,W,0.0822,0.000005,0.000021,1,48,0,27.0,66,0,autonomy
M,A,-0.0645,1.000000,1.000000,0,48,0,41.0,66,0,
M,C,0.0489,1.000000,1.000000,1,48,0,42.0,66,0,autonomy
M,D,0.0365,0.476058,0.762441,0,48,0,43.0,66,0,
M,G,0.0716,0.375593,0.653700,1,48,0,60.0,66,0,stress
M,I,0.0004,0.499823,0.762441,0,48,0,0.0,66,0,
M,N,-0.0824,1.000000,1.000000,0,48,0,36.5,66,0,
M,P,0.0099,0.124684,0.267181,0,48,0,8.0,66,0,
M,S,0.2601,0.011865,0.030510,4,48,0,31.0,66,0,conversation idle salience stress
M,W,0.2925,0.000005,0.000021,1,48,0,27.0,66,0,autonomy
N,A,0.1360,0.000165,0.000550,1,48,0,41.0,66,0,idle
N,C,-0.0371,1.000000,1.000000,0,48,0,42.0,66,0,
N,D,-0.0002,1.000000,1.000000,0,48,0,43.0,66,0,
N,G,0.1447,0.241919,0.463249,2,48,0,30.5,66,0,conversation idle
N,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
N,M,0.0307,1.000000,1.000000,2,48,0,55.0,66,0,idle memory
N,P,-0.0315,1.000000,1.000000,0,48,0,8.0,66,0,
N,S,0.0110,1.000000,1.000000,1,48,0,24.0,66,0,idle
N,W,0.0148,1.000000,1.000000,0,48,0,51.0,66,0,
P,A,9.7981,0.000005,0.000021,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
P,C,0.0066,1.000000,1.000000,0,48,0,42.0,66,0,
P,D,0.0007,0.437478,0.729130,0,48,0,43.0,66,0,
P,G,0.2169,0.101989,0.223879,3,48,0,53.0,66,0,idle memory tool_use
P,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
P,M,0.2385,0.176969,0.361982,4,48,0,27.0,66,0,conversation idle stress tool_use
