source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,1.5564,0.000005,0.000010,8,48,1,20.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,D,0.0677,0.000005,0.000010,1,48,0,43.0,66,0,autonomy
A,G,2.9711,0.000005,0.000010,8,48,1,60.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,I,0.7410,0.000025,0.000045,7,48,1,0.0,66,0,conversation idle memory problem_solving salience stress tool_use
A,M,0.8639,0.000005,0.000010,5,48,1,60.0,66,0,autonomy idle memory salience stress
A,N,1.0359,0.000005,0.000010,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,P,0.3023,0.015750,0.021057,2,48,0,0.0,66,0,idle stress
A,S,3.0581,0.000005,0.000010,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,W,0.4347,0.000005,0.000010,5,48,1,50.0,66,0,conversation idle problem_solving salience stress
C,A,0.1383,0.000005,0.000010,1,48,0,41.0,66,0,memory
C,D,0.0000,0.094610,0.113531,0,48,0,0.0,66,0,
C,G,0.2308,0.002405,0.003548,3,48,0,0.0,66,0,autonomy problem_solving salience
C,I,0.0486,0.501057,0.570825,1,48,0,0.0,66,0,memory
C,M,0.0366,0.031240,0.040031,0,48,0,0.0,66,0,
C,N,0.0098,0.066270,0.081702,0,48,0,24.0,66,0,
C,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
C,S,0.1504,0.000015,0.000028,2,48,0,30.0,66,0,problem_solving salience
C,W,0.0222,0.000095,0.000155,0,48,0,43.0,66,0,
D,A,0.2412,0.000005,0.000010,4,48,0,41.0,66,0,conversation idle salience tool_use
D,C,0.0091,0.000040,0.000069,0,48,0,53.0,66,0,
D,G,0.2689,0.000015,0.000028,2,48,0,0.0,66,0,conversation problem_solving
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,0.0116,0.250234,0.296329,0,48,0,0.0,66,0,
D,N,1.5761,0.000005,0.000010,8,48,1,10.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
D,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,S,0.1235,0.007080,0.009956,2,48,0,0.0,66,0,conversation problem_solving
D,W,0.2167,0.000005,0.000010,4,48,0,27.0,66,0,autonomy idle problem_solving salience
G,A,0.9471,0.000005,0.000010,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,C,2.0207,0.000005,0.000010,8,48,1,20.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,D,0.0575,0.000005,0.000010,1,48,0,43.0,66,0,autonomy
G,I,0.0123,0.500842,0.570825,0,48,0,0.0,66,0,
G,M,0.9279,0.000005,0.000010,5,48,1,60.0,66,0,autonomy idle memory salience stress
G,N,1.9292,0.000005,0.000010,8,48,1,65.0,66,1,autonomy conversation idle memory problem_solving salience stress tool_use
G,P,0.3023,0.015910,0.021057,2,48,0,0.0,66,0,idle stress
G,S,1.7829,0.000005,0.000010,8,48,1,63.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,W,0.7888,0.000005,0.000010,6,48,1,63.0,66,0,autonomy conversation idle salience stress tool_use
I,A,0.6216,0.000005,0.000010,7,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress
I,C,0.5521,0.000005,0.000010,4,48,1,57.0,66,0,autonomy memory salience stress
I,D,0.3909,0.000010,0.000019,5,48,1,0.0,66,0,autonomy conversation idle problem_solving stress
I,G,0.8121,0.000045,0.000076,7,48,1,0.0,66,0,autonomy conversation idle memory problem_solving salience stress
I,M,0.3308,0.000945,0.001492,2,48,0,0.0,66,0,problem_solving stress
I,N,0.8887,0.000005,0.000010,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
