source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,3.3669,0.000005,0.000011,8,48,1,31.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,D,0.0327,0.000005,0.000011,0,48,0,43.0,66,0,
A,G,3.0687,0.000005,0.000011,8,48,1,60.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,I,1.8750,0.001950,0.003510,6,48,1,0.0,66,0,conversation idle memory salience stress tool_use
A,M,0.9189,0.000005,0.000011,7,48,1,60.0,66,0,autonomy idle memory problem_solving salience stress tool_use
A,N,0.8719,0.000005,0.000011,8,48,1,57.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,P,0.3562,0.000005,0.000011,4,48,1,0.0,66,0,conversation problem_solving salience stress
A,S,1.6193,0.000005,0.000011,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,W,0.5065,0.000005,0.000011,6,48,1,60.0,66,0,autonomy conversation problem_solving salience stress tool_use
C,A,0.1184,0.000005,0.000011,0,48,0,41.0,66,0,
C,D,-0.0662,1.000000,1.000000,0,48,0,0.0,66,0,
C,G,0.0043,0.030860,0.047173,0,48,0,0.0,66,0,
C,I,-0.0277,1.000000,1.000000,0,48,0,0.0,66,0,
C,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
C,N,0.0657,0.010625,0.018042,1,48,0,24.0,66,0,memory
C,P,-0.0197,1.000000,1.000000,0,48,0,0.0,66,0,
C,S,0.0180,0.072335,0.103335,0,48,0,63.0,66,0,
C,W,0.0674,0.007630,0.013465,1,48,0,43.0,66,0,memory
D,A,0.1967,0.000005,0.000011,1,48,0,41.0,66,0,memory
D,C,0.0572,0.000005,0.000011,2,48,0,57.0,66,0,idle stress
D,G,0.1619,0.000010,0.000020,1,48,0,0.0,66,0,memory
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,0.0287,0.499373,0.616546,0,48,0,0.0,66,0,
D,N,1.2783,0.000005,0.000011,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
D,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,S,0.0888,0.102979,0.142587,1,48,0,30.0,66,0,memory
D,W,0.1299,0.000005,0.000011,0,48,0,27.0,66,0,
G,A,1.0616,0.000005,0.000011,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,C,2.6305,0.000005,0.000011,7,48,1,20.0,66,0,autonomy conversation idle memory problem_solving stress tool_use
G,D,0.0237,0.000005,0.000011,0,48,0,43.0,66,0,
G,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
G,M,0.7824,0.000005,0.000011,6,48,1,60.0,66,0,autonomy conversation idle memory problem_solving stress
G,N,4.9894,0.000005,0.000011,8,48,1,65.0,66,1,autonomy conversation idle memory problem_solving salience stress tool_use
G,P,0.3427,0.000010,0.000020,4,48,1,0.0,66,0,conversation problem_solving salience stress
G,S,2.1625,0.000005,0.000011,8,48,1,63.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,W,1.0341,0.000005,0.000011,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
I,A,0.4865,0.000005,0.000011,7,48,1,41.0,66,0,autonomy conversation idle memory salience stress tool_use
I,C,0.1342,0.000090,0.000165,2,48,0,57.0,66,0,idle memory
I,D,0.0022,0.015275,0.024995,0,48,0,0.0,66,0,
I,G,0.5941,0.000005,0.000011,5,48,1,15.5,66,0,conversation idle memory problem_solving stress
I,M,0.2118,0.030615,0.047173,2,48,0,0.0,66,0,idle memory
I,N,2.1040,0.000005,0.000011,8,48,1,65.0,66,1,autonomy conversation idle memory problem_solving salience stress tool_use
I,P,0.0981,0.063145,0.091727,2,48,0,0.0,66,0,idle memory
I,S,0.4387,0.000070,0.000131,4,48,1,63.0,66,0,conversation idle memory stress
I,W,0.1164,0.000005,0.000011,2,48,0,35.0,66,0,idle memory
M,A,-0.0129,1.000000,1.000000,0,48,0,41.0,66,0,
M,C,-0.2673,1.000000,1.000000,1,48,0,53.0,66,0,memory
M,D,0.0000,0.500087,0.616546,0,48,0,0.0,66,0,
M,G,1.6547,0.000005,0.000011,8,48,1,30.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
M,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
M,N,0.0596,0.008110,0.014036,0,48,0,43.0,66,0,
M,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
M,S,0.0372,0.244939,0.325733,0,48,0,30.0,66,0,
M,W,0.1386,0.000005,0.000011,0,48,0,27.0,66,0,
N,A,0.1967,0.000005,0.000011,0,48,0,41.0,66,0,
N,C,0.0167,0.000010,0.000020,3,48,0,57.0,66,0,autonomy problem_solving tool_use
N,D,0.0000,0.249599,0.325733,0,48,0,0.0,66,0,
N,G,0.0409,0.015835,0.025449,0,48,0,0.0,66,0,
N,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
N,M,0.0047,0.499998,0.616546,0,48,0,0.0,66,0,
N,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
