source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,0.6546,0.000005,0.000007,6,48,1,41.0,66,0,autonomy conversation memory problem_solving salience stress
A,D,0.0694,0.000005,0.000007,1,48,0,43.0,66,0,tool_use
A,G,2.2414,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,I,8.9583,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,M,0.4533,0.000010,0.000014,5,48,1,0.0,66,0,autonomy memory salience stress tool_use
A,N,0.4064,0.000005,0.000007,4,48,1,41.0,66,0,autonomy idle memory stress
A,P,0.6936,0.000030,0.000040,3,48,1,0.0,66,0,autonomy memory stress
A,S,6.1491,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,W,0.0977,0.000005,0.000007,0,48,0,27.0,66,0,
C,A,5.3499,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,D,0.1779,0.000005,0.000007,0,48,0,43.0,66,0,
C,G,4.0143,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,I,2.7219,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,M,0.0914,0.030960,0.037494,0,48,0,0.0,66,0,
C,N,0.2231,0.000005,0.000007,3,48,0,57.0,66,0,autonomy idle stress
C,P,1.1004,0.000005,0.000007,6,48,1,41.0,66,0,autonomy conversation idle memory problem_solving stress
C,S,3.1877,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,W,0.0442,0.000005,0.000007,0,48,0,60.0,66,0,
D,A,0.3490,0.000005,0.000007,4,48,1,41.0,66,0,autonomy memory salience stress
D,C,0.2349,0.000005,0.000007,2,48,0,41.0,66,0,autonomy salience
D,G,0.2752,0.000005,0.000007,2,48,0,53.0,66,0,autonomy stress
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,0.0570,0.251439,0.293889,1,48,0,0.0,66,0,tool_use
D,N,1.3857,0.000005,0.000007,8,48,1,9.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
D,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,S,0.1132,0.000005,0.000007,0,48,0,0.0,66,0,
D,W,0.2403,0.000005,0.000007,2,48,0,27.0,66,0,idle tool_use
G,A,1.0487,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,C,1.4976,0.000005,0.000007,8,48,1,31.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,D,0.0619,0.015115,0.018937,1,48,0,0.0,66,0,stress
G,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
G,M,0.6423,0.000005,0.000007,8,48,1,60.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,N,1.2100,0.000005,0.000007,8,48,1,32.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,P,3.2282,0.000005,0.000007,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
G,S,1.6364,0.000005,0.000007,8,48,1,63.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,W,1.5980,0.000005,0.000007,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
I,A,0.3466,0.000005,0.000007,4,48,1,41.0,66,0,memory problem_solving salience stress
I,C,0.2518,0.000005,0.000007,1,48,0,41.0,66,0,stress
I,D,3.1012,0.000005,0.000007,8,48,1,43.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,G,0.1746,0.000005,0.000007,1,48,0,34.0,66,0,stress
I,M,0.0899,0.004140,0.005323,1,48,0,0.0,66,0,autonomy
I,N,0.4064,0.000005,0.000007,6,48,1,41.0,66,0,autonomy conversation memory problem_solving salience stress
I,P,1.6118,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,S,0.2110,0.000005,0.000007,1,48,0,0.0,66,0,stress
I,W,0.0641,0.000005,0.000007,1,48,0,57.0,66,0,stress
M,A,0.0011,0.000005,0.000007,0,48,0,0.0,66,0,
M,C,0.0146,0.000005,0.000007,0,48,0,0.0,66,0,
M,D,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
M,G,1.3925,0.000005,0.000007,8,48,1,30.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
