source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,0.4919,0.000005,0.000007,7,48,1,41.0,66,0,autonomy conversation memory problem_solving salience stress tool_use
A,D,0.0000,0.000005,0.000007,0,48,0,43.0,66,0,
A,G,1.8049,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,I,3.2046,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,M,0.0058,0.501102,0.578195,0,48,0,0.0,66,0,
A,N,0.2081,0.000005,0.000007,3,48,0,41.0,66,0,autonomy idle stress
A,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
A,S,2.8956,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,W,0.0147,0.000005,0.000007,0,48,0,27.0,66,0,
C,A,4.9596,0.000005,0.000007,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,D,0.0311,0.000005,0.000007,0,48,0,43.0,66,0,
C,G,1.7469,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,I,1.4114,0.000005,0.000007,8,48,1,34.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
C,N,0.1659,0.000005,0.000007,3,48,0,41.0,66,0,autonomy idle stress
C,P,0.0090,0.499708,0.578195,0,48,0,0.0,66,0,
C,S,1.2891,0.000005,0.000007,8,48,1,64.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
C,W,0.0102,0.000005,0.000007,0,48,0,60.0,66,0,
D,A,0.4716,0.000005,0.000007,7,48,1,41.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
D,C,0.3215,0.000005,0.000007,2,48,0,41.0,66,0,idle tool_use
D,G,0.5366,0.000005,0.000007,2,48,0,30.0,66,0,problem_solving tool_use
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,N,1.7482,0.000005,0.000007,8,48,1,28.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
D,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,S,0.0984,0.000050,0.000069,1,48,0,0.0,66,0,tool_use
D,W,0.1825,0.000005,0.000007,1,48,0,27.0,66,0,tool_use
